81, the Ville, <all>, bed
82, the Ville, <all>, desk
83, the Ville, <all>, closet

91, the Ville, <all>, bathroom sink
92, the Ville, <all>, shower
93, the Ville, <all>, toilet

101, the Ville, <all>, kitchen sink
102, the Ville, <all>, refrigerator
103, the Ville, <all>, toaster
104, the Ville, <all>, cooking area
105, the Ville, <all>, cafe customer seating


111, the Ville, <all>, supply store product shelf
112, the Ville, <all>, behind the supply store counter
113, the Ville, <all>, supply store counter

121, the Ville, <all>, park garden
